Model,CV accuracy,CV accuracy std,CV precision,CV precision std,CV recall,CV recall std,CV f1,CV f1 std,CV roc_auc,CV roc_auc std
Logistic Regression,0.8244459765586527,0.013969440686247012,0.7814590266214012,0.03838019200415831,0.7584511784511785,0.03408737978987764,0.7682618671223901,0.013179344054846803,0.8746514254351245,0.020054817959793008
Random Forest,0.8300797793755541,0.016619768624476883,0.8162283706631532,0.04003609846287217,0.7215488215488215,0.035686423784744986,0.7648982898289829,0.023676220814158135,0.8735397206126045,0.02438088889787769
Dummy Baseline,0.6165763813651137,0.002749420918840616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
